icd10_pcs_5char,approach,nhsn_category,intraperitoneal_proxy,source,rationale
0PHB0,0,,0,default_zero_unmatched,unmatched_default_0
0PHC0,0,,0,default_zero_unmatched,unmatched_default_0
0PHC3,3,,0,default_zero_unmatched,unmatched_default_0
0PHCX,X,,0,default_zero_unmatched,unmatched_default_0
0PHD0,0,,0,default_zero_unmatched,unmatched_default_0
0PHD3,3,,0,default_zero_unmatched,unmatched_default_0
0PHDX,X,,0,default_zero_unmatched,unmatched_default_0
0PHF0,0,,0,default_zero_unmatched,unmatched_default_0
0PHH0,0,,0,default_zero_unmatched,unmatched_default_0
0PHH3,3,,0,default_zero_unmatched,unmatched_default_0
0PHJ0,0,,0,default_zero_unmatched,unmatched_default_0
0PHJ3,3,,0,default_zero_unmatched,unmatched_default_0
0PHK0,0,,0,default_zero_unmatched,unmatched_default_0
0PHL0,0,,0,default_zero_unmatched,unmatched_default_0
0PHM0,0,,0,default_zero_unmatched,unmatched_default_0
0PHM3,3,,0,default_zero_unmatched,unmatched_default_0
0PHN0,0,,0,default_zero_unmatched,unmatched_default_0
0PHN3,3,,0,default_zero_unmatched,unmatched_default_0
0PHP0,0,,0,default_zero_unmatched,unmatched_default_0
0PHP3,3,,0,default_zero_unmatched,unmatched_default_0
0PHPX,X,,0,default_zero_unmatched,unmatched_default_0
0PHQ0,0,,0,default_zero_unmatched,unmatched_default_0
0PHQ3,3,,0,default_zero_unmatched,unmatched_default_0
0PHR0,0,,0,default_zero_unmatched,unmatched_default_0
0PHS0,0,,0,default_zero_unmatched,unmatched_default_0
0PHT0,0,,0,default_zero_unmatched,unmatched_default_0
0PHT3,3,,0,default_zero_unmatched,unmatched_default_0
0PHV0,0,,0,default_zero_unmatched,unmatched_default_0
0PHV3,3,,0,default_zero_unmatched,unmatched_default_0
0PJ00,0,,0,default_zero_unmatched,unmatched_default_0
0PJ04,4,,0,default_zero_unmatched,unmatched_default_0
0PJ30,0,,0,default_zero_unmatched,unmatched_default_0
0PJF4,4,,0,default_zero_unmatched,unmatched_default_0
0PMV0,0,,0,default_zero_unmatched,unmatched_default_0
0PN00,0,,0,default_zero_unmatched,unmatched_default_0
0PNR0,0,,0,default_zero_unmatched,unmatched_default_0
0PNS0,0,,0,default_zero_unmatched,unmatched_default_0
0PP00,0,,0,default_zero_unmatched,unmatched_default_0
0PP0X,X,,0,default_zero_unmatched,unmatched_default_0
0PPC0,0,,0,default_zero_unmatched,unmatched_default_0
0PPD0,0,,0,default_zero_unmatched,unmatched_default_0
0PPH0,0,,0,default_zero_unmatched,unmatched_default_0
0PPK0,0,,0,default_zero_unmatched,unmatched_default_0
0PPP0,0,,0,default_zero_unmatched,unmatched_default_0
0PQ00,0,,0,default_zero_unmatched,unmatched_default_0
0PQ03,3,,0,default_zero_unmatched,unmatched_default_0
0PQ04,4,,0,default_zero_unmatched,unmatched_default_0
0PQ07,7,,0,default_zero_unmatched,unmatched_default_0
0PQ0X,X,,0,default_zero_unmatched,unmatched_default_0
0PQC0,0,,0,default_zero_unmatched,unmatched_default_0
0PQD0,0,,0,default_zero_unmatched,unmatched_default_0
0PQR0,0,,0,default_zero_unmatched,unmatched_default_0
0PQR4,4,,0,default_zero_unmatched,unmatched_default_0
0PQS0,0,,0,default_zero_unmatched,unmatched_default_0
0PQT0,0,,0,default_zero_unmatched,unmatched_default_0
0PR00,0,,0,default_zero_unmatched,unmatched_default_0
0PR0X,X,,0,default_zero_unmatched,unmatched_default_0
0PRC0,0,,0,default_zero_unmatched,unmatched_default_0
0PRD0,0,,0,default_zero_unmatched,unmatched_default_0
0PRR0,0,,0,default_zero_unmatched,unmatched_default_0
0PRS0,0,,0,default_zero_unmatched,unmatched_default_0
0PS00,0,,0,default_zero_unmatched,unmatched_default_0
0PS03,3,,0,default_zero_unmatched,unmatched_default_0
0PS04,4,,0,default_zero_unmatched,unmatched_default_0
0PS0X,X,,0,default_zero_unmatched,unmatched_default_0
0PS30,0,,0,default_zero_unmatched,unmatched_default_0
0PSC0,0,FX,0,cdc_nhsn_primary,FX + approach 0 -> 0
0PSD0,0,FX,0,cdc_nhsn_primary,FX + approach 0 -> 0
0PSD3,3,,0,default_zero_unmatched,unmatched_default_0
0PSH0,0,FX,0,cdc_nhsn_primary,FX + approach 0 -> 0
0PSJ3,3,,0,default_zero_unmatched,unmatched_default_0
0PSJX,X,,0,default_zero_unmatched,unmatched_default_0
0PSM0,0,,0,default_zero_unmatched,unmatched_default_0
0PSM3,3,,0,default_zero_unmatched,unmatched_default_0
0PSN3,3,,0,default_zero_unmatched,unmatched_default_0
0PST3,3,,0,default_zero_unmatched,unmatched_default_0
0PSV0,0,,0,default_zero_unmatched,unmatched_default_0
0PSVX,X,,0,default_zero_unmatched,unmatched_default_0
0PT00,0,,0,default_zero_unmatched,unmatched_default_0
0PT03,3,,0,default_zero_unmatched,unmatched_default_0
0PT04,4,,0,default_zero_unmatched,unmatched_default_0
0PU00,0,,0,default_zero_unmatched,unmatched_default_0
0PW00,0,,0,default_zero_unmatched,unmatched_default_0
0PW04,4,,0,default_zero_unmatched,unmatched_default_0
0PX00,0,,0,default_zero_unmatched,unmatched_default_0
0PX0X,X,,0,default_zero_unmatched,unmatched_default_0
0PXR0,0,,0,default_zero_unmatched,unmatched_default_0
0PXS0,0,,0,default_zero_unmatched,unmatched_default_0
0PXT0,0,,0,default_zero_unmatched,unmatched_default_0
0PXV0,0,,0,default_zero_unmatched,unmatched_default_0
0PXV4,4,,0,default_zero_unmatched,unmatched_default_0
0Q860,0,,0,default_zero_unmatched,unmatched_default_0
0Q870,0,,0,default_zero_unmatched,unmatched_default_0
0Q8F0,0,,0,default_zero_unmatched,unmatched_default_0
0Q8G0,0,,0,default_zero_unmatched,unmatched_default_0
0Q8H0,0,,0,default_zero_unmatched,unmatched_default_0
0Q8H4,4,,0,default_zero_unmatched,unmatched_default_0
0Q8L0,0,,0,default_zero_unmatched,unmatched_default_0
0Q8M0,0,,0,default_zero_unmatched,unmatched_default_0
0Q8N0,0,,0,default_zero_unmatched,unmatched_default_0
0Q970,0,,0,default_zero_unmatched,unmatched_default_0
0Q9C0,0,,0,default_zero_unmatched,unmatched_default_0
0Q9G0,0,,0,default_zero_unmatched,unmatched_default_0
0Q9H0,0,,0,default_zero_unmatched,unmatched_default_0
